Cd error_total error_H error_Q_split H_p1 H_p2 H_p3 Q_Line2 Q_Line3
39.95327332945298 0.024304081026866785 0.016474266956521787 0.007829814070344998 0.342796512 0.343243713 0.353984253 0.100580325 0.0194195589
46.35676882233139 0.019177766199645657 0.01753176173913033 0.0016460044605153268 0.342617418 0.343101492 0.354210094 0.1017174 0.0182824578
42.24223789354542 0.021109910183985725 0.01687902964803306 0.0042308805359526636 0.342729228 0.343188586 0.354069994 0.101012186 0.0189876853
45.427198377248025 0.017770567046462467 0.0173917548654245 0.00037881218103796854 0.342641734 0.343120012 0.35417988 0.101565341 0.0184345214
47.21339542755375 0.020442136178306022 0.017657185010351947 0.002784951167954075 0.342595474 0.343084991 0.354237252 0.101854072 0.0181457841
30.00150335498014 0.04146796893760343 0.014230154161490673 0.027237814776112756 0.343144247 0.343563009 0.353522737 0.0982514628 0.0217485379
49.99332373356309 0.024345614782808687 0.018041732546583776 0.006303882236224911 0.342527107 0.34303506 0.354321189 0.102276337 0.0177235118
35.28690721590253 0.031592695183215155 0.015533338136646022 0.016059357046569134 0.34294701 0.343375233 0.353788354 0.099592813 0.0204071097
37.70885500176009 0.02766775498127571 0.01604238637681165 0.01162536860446406 0.342866497 0.343303619 0.353893869 0.100124875 0.0198750282
44.057860558286464 0.018728246218739215 0.01717798107660447 0.0015502651421347435 0.34267853 0.343148428 0.354133887 0.101333853 0.0186660106
