iCase,Fr,beta,Cd,alpha_simple,alpha_SRH_2D,bConverged_simple,bConverged_SRH_2D
427.00,0.45,0.25,62.22,0.75,0.62,1.00,1.00
428.00,0.45,0.25,71.11,0.77,0.64,1.00,1.00
429.00,0.45,0.25,80.00,0.79,0.65,1.00,1.00
430.00,0.45,0.35,0.00,0.35,0.35,1.00,1.00
431.00,0.45,0.35,8.89,0.61,0.55,1.00,1.00
432.00,0.45,0.35,17.78,0.70,0.62,1.00,1.00
433.00,0.45,0.35,26.67,0.75,0.65,1.00,1.00
434.00,0.45,0.35,35.56,0.79,0.68,1.00,1.00
435.00,0.45,0.35,44.44,0.81,0.70,1.00,1.00
436.00,0.45,0.35,53.33,0.83,0.72,1.00,1.00
437.00,0.45,0.35,62.22,0.84,0.73,1.00,1.00
438.00,0.45,0.35,71.11,0.86,0.74,1.00,1.00
439.00,0.45,0.35,80.00,0.87,0.75,1.00,1.00
440.00,0.45,0.45,0.00,0.45,0.45,1.00,1.00
441.00,0.45,0.45,8.89,0.71,0.65,1.00,1.00
442.00,0.45,0.45,17.78,0.78,0.71,1.00,1.00
443.00,0.45,0.45,26.67,0.82,0.75,1.00,1.00
444.00,0.45,0.45,35.56,0.85,0.77,1.00,1.00
445.00,0.45,0.45,44.44,0.86,0.78,1.00,1.00
446.00,0.45,0.45,53.33,0.88,0.80,1.00,1.00
447.00,0.45,0.45,62.22,0.89,0.81,1.00,1.00
448.00,0.45,0.45,71.11,0.90,0.82,1.00,1.00
449.00,0.45,0.45,80.00,0.90,0.83,1.00,1.00
450.00,0.45,0.55,0.00,0.55,0.55,1.00,1.00
451.00,0.45,0.55,8.89,0.78,0.74,1.00,1.00
452.00,0.45,0.55,17.78,0.84,0.79,1.00,1.00
453.00,0.45,0.55,26.67,0.86,0.82,1.00,1.00
454.00,0.45,0.55,35.56,0.88,0.84,1.00,1.00
455.00,0.45,0.55,44.44,0.89,0.85,1.00,1.00
456.00,0.45,0.55,53.33,0.90,0.86,1.00,1.00
457.00,0.45,0.55,62.22,0.98,0.87,1.00,1.00
458.00,0.45,0.55,71.11,0.97,0.87,1.00,1.00
459.00,0.45,0.55,80.00,0.97,0.88,1.00,1.00
460.00,0.45,0.65,0.00,0.65,0.65,1.00,1.00
461.00,0.45,0.65,8.89,0.85,0.82,1.00,1.00
462.00,0.45,0.65,17.78,0.88,0.85,1.00,1.00
463.00,0.45,0.65,26.67,0.90,0.87,1.00,1.00
464.00,0.45,0.65,35.56,0.91,0.89,1.00,1.00
465.00,0.45,0.65,44.44,0.99,0.90,1.00,1.00
466.00,0.45,0.65,53.33,0.98,0.90,1.00,1.00
467.00,0.45,0.65,62.22,0.98,0.91,1.00,1.00
468.00,0.45,0.65,71.11,0.94,0.92,1.00,1.00
469.00,0.45,0.65,80.00,0.94,0.92,1.00,1.00
470.00,0.45,0.75,0.00,0.75,0.75,1.00,1.00
471.00,0.45,0.75,8.89,0.90,0.88,1.00,1.00
472.00,0.45,0.75,17.78,0.93,0.91,1.00,1.00
473.00,0.45,0.75,26.67,0.94,0.92,1.00,1.00
474.00,0.45,0.75,35.56,0.95,0.93,1.00,1.00
475.00,0.45,0.75,44.44,0.95,0.94,1.00,1.00
476.00,0.45,0.75,53.33,0.95,0.94,1.00,1.00
477.00,0.45,0.75,62.22,0.96,0.94,1.00,1.00
478.00,0.45,0.75,71.11,0.96,0.95,1.00,1.00
479.00,0.45,0.75,80.00,0.96,0.95,1.00,1.00
480.00,0.45,0.85,0.00,0.85,0.85,1.00,1.00
481.00,0.45,0.85,8.89,0.95,0.93,1.00,1.00
482.00,0.45,0.85,17.78,0.96,0.95,1.00,1.00
483.00,0.45,0.85,26.67,0.97,0.96,1.00,1.00
484.00,0.45,0.85,35.56,0.97,0.96,1.00,1.00
485.00,0.45,0.85,44.44,1.03,0.97,1.00,1.00
486.00,0.45,0.85,53.33,1.03,0.97,1.00,1.00
487.00,0.45,0.85,62.22,1.02,0.97,1.00,1.00
488.00,0.45,0.85,71.11,1.02,0.97,1.00,1.00
489.00,0.45,0.85,80.00,1.02,0.97,1.00,1.00
490.00,0.45,0.95,0.00,0.95,0.95,1.00,1.00
491.00,0.45,0.95,8.89,0.98,0.98,1.00,1.00
492.00,0.45,0.95,17.78,0.99,0.99,1.00,1.00
493.00,0.45,0.95,26.67,0.99,0.99,1.00,1.00
494.00,0.45,0.95,35.56,1.01,0.99,1.00,1.00
495.00,0.45,0.95,44.44,0.99,0.99,1.00,1.00
496.00,0.45,0.95,53.33,0.99,0.99,1.00,1.00
497.00,0.45,0.95,62.22,0.99,0.99,1.00,1.00
498.00,0.45,0.95,71.11,0.99,0.99,1.00,1.00
499.00,0.45,0.95,80.00,0.99,0.99,1.00,1.00
500.00,0.55,0.05,0.00,0.05,0.05,1.00,1.00
501.00,0.55,0.05,8.89,0.07,0.10,1.00,1.00
502.00,0.55,0.05,17.78,0.09,0.13,1.00,1.00
503.00,0.55,0.05,26.67,0.11,0.14,1.00,1.00
504.00,0.55,0.05,35.56,0.12,0.16,1.00,1.00
505.00,0.55,0.05,44.44,0.15,0.17,1.00,1.00
506.00,0.55,0.05,53.33,0.21,0.18,1.00,1.00
507.00,0.55,0.05,62.22,0.25,0.19,1.00,1.00
508.00,0.55,0.05,71.11,0.29,0.20,1.00,1.00
509.00,0.55,0.05,80.00,0.32,0.21,1.00,1.00
510.00,0.55,0.15,0.00,0.15,0.15,1.00,1.00
511.00,0.55,0.15,8.89,0.27,0.28,1.00,1.00
512.00,0.55,0.15,17.78,0.36,0.33,1.00,1.00
513.00,0.55,0.15,26.67,0.42,0.37,1.00,1.00
514.00,0.55,0.15,35.56,0.47,0.40,1.00,1.00
515.00,0.55,0.15,44.44,0.51,0.42,1.00,1.00
516.00,0.55,0.15,53.33,0.54,0.44,1.00,1.00
517.00,0.55,0.15,62.22,0.56,0.46,1.00,1.00
518.00,0.55,0.15,71.11,0.59,0.47,1.00,1.00
519.00,0.55,0.15,80.00,0.61,0.48,1.00,1.00
520.00,0.55,0.25,0.00,0.25,0.25,1.00,1.00
521.00,0.55,0.25,8.89,0.47,0.43,1.00,1.00
522.00,0.55,0.25,17.78,0.57,0.49,1.00,1.00
523.00,0.55,0.25,26.67,0.63,0.53,1.00,1.00
524.00,0.55,0.25,35.56,0.68,0.56,1.00,1.00
525.00,0.55,0.25,44.44,0.71,0.58,1.00,1.00
526.00,0.55,0.25,53.33,0.74,0.60,1.00,1.00
527.00,0.55,0.25,62.22,0.76,0.62,1.00,1.00
528.00,0.55,0.25,71.11,0.78,0.63,1.00,1.00
529.00,0.55,0.25,80.00,0.80,0.64,1.00,1.00
530.00,0.55,0.35,0.00,0.35,0.35,1.00,1.00
531.00,0.55,0.35,8.89,0.62,0.55,1.00,1.00
532.00,0.55,0.35,17.78,0.71,0.61,1.00,1.00
533.00,0.55,0.35,26.67,0.76,0.65,1.00,1.00
534.00,0.55,0.35,35.56,0.80,0.68,1.00,1.00
535.00,0.55,0.35,44.44,0.82,0.70,1.00,1.00
536.00,0.55,0.35,53.33,0.84,0.71,1.00,1.00
537.00,0.55,0.35,62.22,0.84,0.73,1.00,1.00
538.00,0.55,0.35,71.11,0.87,0.74,1.00,1.00
539.00,0.55,0.35,80.00,0.22,0.75,0.00,1.00
540.00,0.55,0.45,0.00,0.45,0.45,1.00,1.00
541.00,0.55,0.45,8.89,0.72,0.65,1.00,1.00
542.00,0.55,0.45,17.78,0.80,0.71,1.00,1.00
543.00,0.55,0.45,26.67,0.84,0.74,1.00,1.00
544.00,0.55,0.45,35.56,0.86,0.76,1.00,1.00
545.00,0.55,0.45,44.44,0.88,0.78,1.00,1.00
546.00,0.55,0.45,53.33,0.89,0.79,1.00,1.00
547.00,0.55,0.45,62.22,0.90,0.81,1.00,1.00
548.00,0.55,0.45,71.11,0.93,0.81,1.00,1.00
549.00,0.55,0.45,80.00,0.94,0.82,1.00,1.00
550.00,0.55,0.55,0.00,0.55,0.55,1.00,1.00
551.00,0.55,0.55,8.89,0.79,0.74,1.00,1.00
552.00,0.55,0.55,17.78,0.85,0.79,1.00,1.00
553.00,0.55,0.55,26.67,0.88,0.81,1.00,1.00
554.00,0.55,0.55,35.56,0.90,0.83,1.00,1.00
555.00,0.55,0.55,44.44,0.91,0.85,1.00,1.00
556.00,0.55,0.55,53.33,0.92,0.86,1.00,1.00
557.00,0.55,0.55,62.22,0.98,0.86,1.00,1.00
558.00,0.55,0.55,71.11,0.98,0.87,1.00,1.00
559.00,0.55,0.55,80.00,0.98,0.88,1.00,1.00
560.00,0.55,0.65,0.00,0.65,0.65,1.00,1.00
561.00,0.55,0.65,8.89,0.90,0.81,1.00,1.00
562.00,0.55,0.65,17.78,0.02,0.85,0.00,1.00
563.00,0.55,0.65,26.67,0.97,0.87,1.00,1.00
564.00,0.55,0.65,35.56,0.99,0.89,1.00,1.00
565.00,0.55,0.65,44.44,0.99,0.90,1.00,1.00
566.00,0.55,0.65,53.33,0.99,0.90,1.00,1.00
567.00,0.55,0.65,62.22,0.98,0.91,1.00,1.00
568.00,0.55,0.65,71.11,0.99,0.91,1.00,1.00
569.00,0.55,0.65,80.00,0.99,0.92,1.00,1.00
570.00,0.55,0.75,0.00,0.75,0.75,1.00,1.00
571.00,0.55,0.75,8.89,0.90,0.88,1.00,1.00
572.00,0.55,0.75,17.78,0.01,0.91,0.00,1.00
573.00,0.55,0.75,26.67,0.97,0.92,1.00,1.00
574.00,0.55,0.75,35.56,0.97,0.93,1.00,1.00
575.00,0.55,0.75,44.44,0.98,0.93,1.00,1.00
576.00,0.55,0.75,53.33,0.98,0.94,1.00,1.00
577.00,0.55,0.75,62.22,0.98,0.94,1.00,1.00
578.00,0.55,0.75,71.11,0.99,0.95,1.00,1.00
579.00,0.55,0.75,80.00,0.99,0.95,1.00,1.00
580.00,0.55,0.85,0.00,0.85,0.85,1.00,1.00
581.00,0.55,0.85,8.89,0.94,0.93,1.00,1.00
582.00,0.55,0.85,17.78,0.96,0.95,1.00,1.00
583.00,0.55,0.85,26.67,0.97,0.96,1.00,1.00
584.00,0.55,0.85,35.56,0.97,0.96,1.00,1.00
585.00,0.55,0.85,44.44,0.97,0.97,1.00,1.00
586.00,0.55,0.85,53.33,0.98,0.97,1.00,1.00
587.00,0.55,0.85,62.22,0.98,0.97,1.00,1.00
588.00,0.55,0.85,71.11,0.98,0.97,1.00,1.00
589.00,0.55,0.85,80.00,0.98,0.97,1.00,1.00
590.00,0.55,0.95,0.00,0.95,0.95,1.00,1.00
591.00,0.55,0.95,8.89,0.98,0.98,1.00,1.00
592.00,0.55,0.95,17.78,0.99,0.99,1.00,1.00
593.00,0.55,0.95,26.67,0.99,0.99,1.00,1.00
594.00,0.55,0.95,35.56,0.99,0.99,1.00,1.00
595.00,0.55,0.95,44.44,0.99,0.99,1.00,1.00
596.00,0.55,0.95,53.33,0.99,0.99,1.00,1.00
597.00,0.55,0.95,62.22,1.01,0.99,1.00,1.00
598.00,0.55,0.95,71.11,0.99,0.99,1.00,1.00
599.00,0.55,0.95,80.00,0.99,0.99,1.00,1.00
600.00,0.65,0.05,0.00,0.05,0.05,1.00,1.00
601.00,0.65,0.05,8.89,0.06,0.10,1.00,1.00
602.00,0.65,0.05,17.78,0.08,0.13,1.00,1.00
603.00,0.65,0.05,26.67,0.11,0.14,1.00,1.00
604.00,0.65,0.05,35.56,0.17,0.16,1.00,1.00
605.00,0.65,0.05,44.44,0.23,0.17,1.00,1.00
606.00,0.65,0.05,53.33,0.28,0.18,1.00,1.00
607.00,0.65,0.05,62.22,0.32,0.19,1.00,1.00
608.00,0.65,0.05,71.11,0.35,0.20,1.00,1.00
609.00,0.65,0.05,80.00,0.37,0.21,1.00,1.00
610.00,0.65,0.15,0.00,0.15,0.15,1.00,1.00
611.00,0.65,0.15,8.89,0.28,0.28,1.00,1.00
612.00,0.65,0.15,17.78,0.36,0.33,1.00,1.00
613.00,0.65,0.15,26.67,0.43,0.37,1.00,1.00
614.00,0.65,0.15,35.56,0.47,0.40,1.00,1.00
615.00,0.65,0.15,44.44,0.51,0.42,1.00,1.00
616.00,0.65,0.15,53.33,0.54,0.44,1.00,1.00
617.00,0.65,0.15,62.22,0.57,0.45,1.00,1.00
618.00,0.65,0.15,71.11,0.59,0.47,1.00,1.00
619.00,0.65,0.15,80.00,0.61,0.48,1.00,1.00
620.00,0.65,0.25,0.00,0.25,0.25,1.00,1.00
621.00,0.65,0.25,8.89,0.48,0.42,1.00,1.00
622.00,0.65,0.25,17.78,0.57,0.49,1.00,1.00
623.00,0.65,0.25,26.67,0.64,0.53,1.00,1.00
624.00,0.65,0.25,35.56,0.68,0.56,1.00,1.00
625.00,0.65,0.25,44.44,0.72,0.58,1.00,1.00
626.00,0.65,0.25,53.33,0.75,0.60,1.00,1.00
627.00,0.65,0.25,62.22,0.77,0.62,1.00,1.00
628.00,0.65,0.25,71.11,0.79,0.63,1.00,1.00
629.00,0.65,0.25,80.00,0.80,0.64,1.00,1.00
630.00,0.65,0.35,0.00,0.35,0.35,1.00,1.00
631.00,0.65,0.35,8.89,0.62,0.54,1.00,1.00
632.00,0.65,0.35,17.78,0.72,0.61,1.00,1.00
633.00,0.65,0.35,26.67,0.77,0.65,1.00,1.00
634.00,0.65,0.35,35.56,0.80,0.67,1.00,1.00
635.00,0.65,0.35,44.44,0.83,0.69,1.00,1.00
636.00,0.65,0.35,53.33,0.83,0.71,1.00,1.00
637.00,0.65,0.35,62.22,0.35,0.72,0.00,1.00
638.00,0.65,0.35,71.11,0.84,0.74,1.00,1.00
639.00,0.65,0.35,80.00,0.86,0.75,1.00,1.00
640.00,0.65,0.45,0.00,0.45,0.45,1.00,1.00
641.00,0.65,0.45,8.89,0.73,0.65,1.00,1.00
642.00,0.65,0.45,17.78,0.81,0.71,1.00,1.00
643.00,0.65,0.45,26.67,0.80,0.74,1.00,1.00
644.00,0.65,0.45,35.56,0.87,0.76,1.00,1.00
645.00,0.65,0.45,44.44,0.89,0.78,1.00,1.00
646.00,0.65,0.45,53.33,0.90,0.79,1.00,1.00
647.00,0.65,0.45,62.22,0.90,0.80,1.00,1.00
648.00,0.65,0.45,71.11,0.93,0.81,1.00,1.00
649.00,0.65,0.45,80.00,0.92,0.82,1.00,1.00
650.00,0.65,0.55,0.00,0.55,0.55,1.00,1.00
651.00,0.65,0.55,8.89,0.80,0.74,1.00,1.00
652.00,0.65,0.55,17.78,0.86,0.78,1.00,1.00
653.00,0.65,0.55,26.67,0.93,0.81,1.00,1.00
654.00,0.65,0.55,35.56,0.91,0.83,1.00,1.00
655.00,0.65,0.55,44.44,0.97,0.84,1.00,1.00
656.00,0.65,0.55,53.33,0.93,0.85,1.00,1.00
657.00,0.65,0.55,62.22,0.99,0.86,1.00,1.00
658.00,0.65,0.55,71.11,0.94,0.87,1.00,1.00
659.00,0.65,0.55,80.00,0.99,0.87,1.00,1.00
660.00,0.65,0.65,0.00,0.65,0.65,1.00,1.00
661.00,0.65,0.65,8.89,0.87,0.81,1.00,1.00
662.00,0.65,0.65,17.78,0.95,0.85,1.00,1.00
663.00,0.65,0.65,26.67,0.94,0.87,1.00,1.00
664.00,0.65,0.65,35.56,0.95,0.88,1.00,1.00
665.00,0.65,0.65,44.44,0.95,0.89,1.00,1.00
666.00,0.65,0.65,53.33,0.96,0.90,1.00,1.00
667.00,0.65,0.65,62.22,0.96,0.91,1.00,1.00
668.00,0.65,0.65,71.11,0.97,0.91,1.00,1.00
669.00,0.65,0.65,80.00,0.97,0.92,1.00,1.00
670.00,0.65,0.75,0.00,0.75,0.75,1.00,1.00
671.00,0.65,0.75,8.89,0.95,0.88,1.00,1.00
672.00,0.65,0.75,17.78,0.99,0.90,1.00,1.00
673.00,0.65,0.75,26.67,0.98,0.92,1.00,1.00
674.00,0.65,0.75,35.56,0.96,0.93,1.00,1.00
675.00,0.65,0.75,44.44,0.95,0.93,1.00,1.00
676.00,0.65,0.75,53.33,0.97,0.94,1.00,1.00
677.00,0.65,0.75,62.22,0.98,0.94,1.00,1.00
678.00,0.65,0.75,71.11,0.99,0.95,1.00,1.00
679.00,0.65,0.75,80.00,0.99,0.95,1.00,1.00
680.00,0.65,0.85,0.00,0.85,0.85,1.00,1.00
681.00,0.65,0.85,8.89,0.94,0.93,1.00,1.00
682.00,0.65,0.85,17.78,0.98,0.95,1.00,1.00
683.00,0.65,0.85,26.67,0.97,0.96,1.00,1.00
684.00,0.65,0.85,35.56,0.99,0.96,1.00,1.00
685.00,0.65,0.85,44.44,0.99,0.97,1.00,1.00
686.00,0.65,0.85,53.33,0.98,0.97,1.00,1.00
687.00,0.65,0.85,62.22,0.99,0.97,1.00,1.00
688.00,0.65,0.85,71.11,1.00,0.97,1.00,1.00
689.00,0.65,0.85,80.00,0.98,0.97,1.00,1.00
690.00,0.65,0.95,0.00,1.03,0.95,1.00,1.00
691.00,0.65,0.95,8.89,0.98,0.98,1.00,1.00
692.00,0.65,0.95,17.78,0.99,0.99,1.00,1.00
693.00,0.65,0.95,26.67,1.01,0.99,1.00,1.00
694.00,0.65,0.95,35.56,1.01,0.99,1.00,1.00
695.00,0.65,0.95,44.44,1.01,0.99,1.00,1.00
696.00,0.65,0.95,53.33,1.01,0.99,1.00,1.00
697.00,0.65,0.95,62.22,1.01,0.99,1.00,1.00
698.00,0.65,0.95,71.11,1.01,0.99,1.00,1.00
699.00,0.65,0.95,80.00,1.01,0.99,1.00,1.00
700.00,0.75,0.05,0.00,0.05,0.05,1.00,1.00
701.00,0.75,0.05,8.89,0.06,0.10,1.00,1.00
702.00,0.75,0.05,17.78,0.09,0.12,1.00,1.00
703.00,0.75,0.05,26.67,0.16,0.14,1.00,1.00
704.00,0.75,0.05,35.56,0.23,0.16,1.00,1.00
705.00,0.75,0.05,44.44,0.28,0.17,1.00,1.00
706.00,0.75,0.05,53.33,0.32,0.18,1.00,1.00
707.00,0.75,0.05,62.22,0.35,0.19,1.00,1.00
708.00,0.75,0.05,71.11,0.38,0.20,1.00,1.00
709.00,0.75,0.05,80.00,0.40,0.21,1.00,1.00
710.00,0.75,0.15,0.00,0.15,0.15,1.00,1.00
711.00,0.75,0.15,8.89,0.28,0.28,1.00,1.00
712.00,0.75,0.15,17.78,0.36,0.33,1.00,1.00
713.00,0.75,0.15,26.67,0.44,0.37,1.00,1.00
714.00,0.75,0.15,35.56,0.48,0.39,1.00,1.00
715.00,0.75,0.15,44.44,0.51,0.42,1.00,1.00
716.00,0.75,0.15,53.33,0.54,0.44,1.00,1.00
717.00,0.75,0.15,62.22,0.57,0.45,1.00,1.00
718.00,0.75,0.15,71.11,0.60,0.47,1.00,1.00
719.00,0.75,0.15,80.00,0.61,0.48,1.00,1.00
720.00,0.75,0.25,0.00,0.25,0.25,1.00,1.00
721.00,0.75,0.25,8.89,0.48,0.42,1.00,1.00
722.00,0.75,0.25,17.78,0.58,0.48,1.00,1.00
723.00,0.75,0.25,26.67,0.65,0.53,1.00,1.00
724.00,0.75,0.25,35.56,0.69,0.56,1.00,1.00
725.00,0.75,0.25,44.44,0.72,0.58,1.00,1.00
726.00,0.75,0.25,53.33,0.75,0.60,1.00,1.00
727.00,0.75,0.25,62.22,0.82,0.61,1.00,1.00
728.00,0.75,0.25,71.11,0.79,0.63,1.00,1.00
729.00,0.75,0.25,80.00,0.84,0.64,1.00,1.00
730.00,0.75,0.35,0.00,0.35,0.35,1.00,1.00
731.00,0.75,0.35,8.89,0.63,0.54,1.00,1.00
732.00,0.75,0.35,17.78,0.72,0.61,1.00,1.00
733.00,0.75,0.35,26.67,0.78,0.64,1.00,1.00
734.00,0.75,0.35,35.56,0.81,0.67,1.00,1.00
735.00,0.75,0.35,44.44,0.83,0.69,1.00,1.00
736.00,0.75,0.35,53.33,0.85,0.71,1.00,1.00
737.00,0.75,0.35,62.22,0.85,0.72,1.00,1.00
738.00,0.75,0.35,71.11,0.86,0.73,1.00,1.00
739.00,0.75,0.35,80.00,0.42,0.74,0.00,1.00
740.00,0.75,0.45,0.00,0.45,0.45,1.00,1.00
741.00,0.75,0.45,8.89,0.74,0.65,1.00,1.00
742.00,0.75,0.45,17.78,0.81,0.70,1.00,1.00
743.00,0.75,0.45,26.67,0.85,0.74,1.00,1.00
744.00,0.75,0.45,35.56,0.83,0.76,1.00,1.00
745.00,0.75,0.45,44.44,0.85,0.78,1.00,1.00
746.00,0.75,0.45,53.33,0.86,0.79,1.00,1.00
747.00,0.75,0.45,62.22,0.93,0.80,1.00,1.00
748.00,0.75,0.45,71.11,0.93,0.81,1.00,1.00
749.00,0.75,0.45,80.00,0.98,0.82,1.00,1.00
750.00,0.75,0.55,0.00,0.55,0.55,1.00,1.00
751.00,0.75,0.55,8.89,0.81,0.73,1.00,1.00
752.00,0.75,0.55,17.78,0.87,0.78,1.00,1.00
753.00,0.75,0.55,26.67,0.93,0.81,1.00,1.00
754.00,0.75,0.55,35.56,0.91,0.83,1.00,1.00
755.00,0.75,0.55,44.44,0.98,0.84,1.00,1.00
756.00,0.75,0.55,53.33,0.99,0.85,1.00,1.00
757.00,0.75,0.55,62.22,0.99,0.86,1.00,1.00
758.00,0.75,0.55,71.11,0.99,0.87,1.00,1.00
759.00,0.75,0.55,80.00,0.99,0.87,1.00,1.00
760.00,0.75,0.65,0.00,0.65,0.65,1.00,1.00
761.00,0.75,0.65,8.89,0.87,0.81,1.00,1.00
762.00,0.75,0.65,17.78,0.89,0.85,1.00,1.00
763.00,0.75,0.65,26.67,0.96,0.87,1.00,1.00
764.00,0.75,0.65,35.56,0.97,0.88,1.00,1.00
765.00,0.75,0.65,44.44,0.97,0.89,1.00,1.00
766.00,0.75,0.65,53.33,0.97,0.90,1.00,1.00
767.00,0.75,0.65,62.22,0.97,0.91,1.00,1.00
768.00,0.75,0.65,71.11,0.97,0.91,1.00,1.00
769.00,0.75,0.65,80.00,0.97,0.91,1.00,1.00
770.00,0.75,0.75,0.00,0.75,0.75,1.00,1.00
771.00,0.75,0.75,8.89,0.95,0.88,1.00,1.00
772.00,0.75,0.75,17.78,0.99,0.90,1.00,1.00
773.00,0.75,0.75,26.67,0.95,0.92,1.00,1.00
774.00,0.75,0.75,35.56,0.96,0.93,1.00,1.00
775.00,0.75,0.75,44.44,0.96,0.93,1.00,1.00
776.00,0.75,0.75,53.33,0.96,0.94,1.00,1.00
777.00,0.75,0.75,62.22,0.97,0.94,1.00,1.00
778.00,0.75,0.75,71.11,0.97,0.94,1.00,1.00
779.00,0.75,0.75,80.00,0.97,0.95,1.00,1.00
780.00,0.75,0.85,0.00,0.85,0.85,1.00,1.00
781.00,0.75,0.85,8.89,0.96,0.93,1.00,1.00
782.00,0.75,0.85,17.78,0.97,0.95,1.00,1.00
783.00,0.75,0.85,26.67,0.98,0.96,1.00,1.00
784.00,0.75,0.85,35.56,0.98,0.96,1.00,1.00
785.00,0.75,0.85,44.44,0.98,0.96,1.00,1.00
786.00,0.75,0.85,53.33,0.98,0.97,1.00,1.00
787.00,0.75,0.85,62.22,0.98,0.97,1.00,1.00
788.00,0.75,0.85,71.11,0.99,0.97,1.00,1.00
789.00,0.75,0.85,80.00,0.99,0.97,1.00,1.00
790.00,0.75,0.95,0.00,0.95,0.95,1.00,1.00
791.00,0.75,0.95,8.89,0.98,0.98,1.00,1.00
792.00,0.75,0.95,17.78,0.99,0.98,1.00,1.00
793.00,0.75,0.95,26.67,0.99,0.99,1.00,1.00
794.00,0.75,0.95,35.56,0.99,0.99,1.00,1.00
795.00,0.75,0.95,44.44,0.99,0.99,1.00,1.00
796.00,0.75,0.95,53.33,0.99,0.99,1.00,1.00
797.00,0.75,0.95,62.22,0.99,0.99,1.00,1.00
798.00,0.75,0.95,71.11,0.99,0.99,1.00,1.00
799.00,0.75,0.95,80.00,0.99,0.99,1.00,1.00
800.00,0.85,0.05,0.00,0.05,0.05,1.00,1.00
801.00,0.85,0.05,8.89,0.06,0.10,1.00,1.00
802.00,0.85,0.05,17.78,0.12,0.12,1.00,1.00
803.00,0.85,0.05,26.67,0.21,0.14,1.00,1.00
804.00,0.85,0.05,35.56,0.26,0.16,1.00,1.00
805.00,0.85,0.05,44.44,0.31,0.17,1.00,1.00
806.00,0.85,0.05,53.33,0.34,0.18,1.00,1.00
807.00,0.85,0.05,62.22,0.37,0.19,1.00,1.00
808.00,0.85,0.05,71.11,0.40,0.20,1.00,1.00
809.00,0.85,0.05,80.00,0.42,0.21,1.00,1.00
810.00,0.85,0.15,0.00,0.15,0.15,1.00,1.00
811.00,0.85,0.15,8.89,0.29,0.27,1.00,1.00
812.00,0.85,0.15,17.78,0.38,0.33,1.00,1.00
813.00,0.85,0.15,26.67,0.43,0.37,1.00,1.00
814.00,0.85,0.15,35.56,0.48,0.39,1.00,1.00
815.00,0.85,0.15,44.44,0.51,0.42,1.00,1.00
816.00,0.85,0.15,53.33,0.56,0.44,1.00,1.00
817.00,0.85,0.15,62.22,0.59,0.45,1.00,1.00
818.00,0.85,0.15,71.11,0.61,0.47,1.00,1.00
819.00,0.85,0.15,80.00,0.63,0.48,1.00,1.00
820.00,0.85,0.25,0.00,0.25,0.25,1.00,1.00
821.00,0.85,0.25,8.89,0.49,0.42,1.00,1.00
822.00,0.85,0.25,17.78,0.58,0.48,1.00,1.00
823.00,0.85,0.25,26.67,0.65,0.52,1.00,1.00
824.00,0.85,0.25,35.56,0.69,0.55,1.00,1.00
825.00,0.85,0.25,44.44,0.73,0.58,1.00,1.00
826.00,0.85,0.25,53.33,0.79,0.60,1.00,1.00
827.00,0.85,0.25,62.22,0.81,0.61,1.00,1.00
828.00,0.85,0.25,71.11,0.82,0.63,1.00,1.00
829.00,0.85,0.25,80.00,0.83,0.64,1.00,1.00
830.00,0.85,0.35,0.00,0.35,0.35,1.00,1.00
831.00,0.85,0.35,8.89,0.63,0.54,1.00,1.00
832.00,0.85,0.35,17.78,0.73,0.60,1.00,1.00
833.00,0.85,0.35,26.67,0.78,0.64,1.00,1.00
834.00,0.85,0.35,35.56,0.81,0.67,1.00,1.00
835.00,0.85,0.35,44.44,0.84,0.69,1.00,1.00
836.00,0.85,0.35,53.33,0.93,0.71,1.00,1.00
837.00,0.85,0.35,62.22,0.93,0.72,1.00,1.00
838.00,0.85,0.35,71.11,0.94,0.73,1.00,1.00
839.00,0.85,0.35,80.00,0.95,0.74,1.00,1.00
840.00,0.85,0.45,0.00,0.45,0.45,1.00,1.00
841.00,0.85,0.45,8.89,0.74,0.64,1.00,1.00
842.00,0.85,0.45,17.78,0.81,0.70,1.00,1.00
843.00,0.85,0.45,26.67,0.85,0.74,1.00,1.00
844.00,0.85,0.45,35.56,0.88,0.76,1.00,1.00
845.00,0.85,0.45,44.44,0.97,0.78,1.00,1.00
846.00,0.85,0.45,53.33,0.98,0.79,1.00,1.00
847.00,0.85,0.45,62.22,0.98,0.80,1.00,1.00
848.00,0.85,0.45,71.11,0.98,0.81,1.00,1.00
849.00,0.85,0.45,80.00,0.99,0.82,1.00,1.00
850.00,0.85,0.55,0.00,0.55,0.55,1.00,1.00
851.00,0.85,0.55,8.89,0.81,0.73,1.00,1.00
852.00,0.85,0.55,17.78,0.90,0.78,1.00,1.00
853.00,0.85,0.55,26.67,0.91,0.81,1.00,1.00
854.00,0.85,0.55,35.56,0.91,0.83,1.00,1.00
855.00,0.85,0.55,44.44,0.91,0.84,1.00,1.00
856.00,0.85,0.55,53.33,0.93,0.85,1.00,1.00
857.00,0.85,0.55,62.22,0.94,0.86,1.00,1.00
858.00,0.85,0.55,71.11,0.94,0.87,1.00,1.00
859.00,0.85,0.55,80.00,0.94,0.87,1.00,1.00
860.00,0.85,0.65,0.00,0.65,0.65,1.00,1.00
861.00,0.85,0.65,8.89,0.93,0.81,1.00,1.00
