iCase,Fr,beta,Cd,alpha_simple,alpha_SRH_2D,bConverged_simple,bConverged_SRH_2D
98.00,0.05,0.95,71.11,0.99,0.99,1.00,1.00
99.00,0.05,0.95,80.00,0.99,0.99,1.00,1.00
100.00,0.15,0.05,0.00,0.05,0.05,1.00,1.00
101.00,0.15,0.05,8.89,0.14,0.11,1.00,1.00
102.00,0.15,0.05,17.78,0.18,0.14,1.00,1.00
103.00,0.15,0.05,26.67,0.19,0.16,1.00,1.00
104.00,0.15,0.05,35.56,0.19,0.18,1.00,1.00
105.00,0.15,0.05,44.44,0.20,0.19,1.00,1.00
106.00,0.15,0.05,53.33,0.21,0.20,1.00,1.00
107.00,0.15,0.05,62.22,0.22,0.21,1.00,1.00
108.00,0.15,0.05,71.11,0.23,0.22,1.00,1.00
109.00,0.15,0.05,80.00,0.23,0.23,1.00,1.00
110.00,0.15,0.15,0.00,0.15,0.15,1.00,1.00
111.00,0.15,0.15,8.89,0.35,0.29,1.00,1.00
112.00,0.15,0.15,17.78,0.43,0.36,1.00,1.00
113.00,0.15,0.15,26.67,0.47,0.39,1.00,1.00
114.00,0.15,0.15,35.56,0.50,0.42,1.00,1.00
115.00,0.15,0.15,44.44,0.53,0.45,1.00,1.00
116.00,0.15,0.15,53.33,0.55,0.47,1.00,1.00
117.00,0.15,0.15,62.22,0.55,0.48,1.00,1.00
118.00,0.15,0.15,71.11,0.57,0.50,1.00,1.00
119.00,0.15,0.15,80.00,0.58,0.51,1.00,1.00
120.00,0.15,0.25,0.00,0.25,0.25,1.00,1.00
121.00,0.15,0.25,8.89,0.51,0.44,1.00,1.00
122.00,0.15,0.25,17.78,0.59,0.51,1.00,1.00
123.00,0.15,0.25,26.67,0.63,0.55,1.00,1.00
124.00,0.15,0.25,35.56,0.66,0.58,1.00,1.00
125.00,0.15,0.25,44.44,0.69,0.61,1.00,1.00
126.00,0.15,0.25,53.33,0.70,0.63,1.00,1.00
127.00,0.15,0.25,62.22,0.72,0.64,1.00,1.00
128.00,0.15,0.25,71.11,0.73,0.65,1.00,1.00
129.00,0.15,0.25,80.00,0.74,0.67,1.00,1.00
130.00,0.15,0.35,0.00,0.35,0.35,1.00,1.00
131.00,0.15,0.35,8.89,0.63,0.56,1.00,1.00
132.00,0.15,0.35,17.78,0.70,0.63,1.00,1.00
133.00,0.15,0.35,26.67,0.74,0.67,1.00,1.00
